T,lonC,lat,Tilt,R,Hangle,k_fac,Ne_tilt
11.33,90.000,15.000,-20,1.100,2.6000,0.01,0
11.38,90.000,15.000,-90.000,1.220,4,0.02,12.000
11.4,90.000,14.000,-90.000,1.290,4,0.02,12.000
11.42,90.000,14.000,-90.000,1.430,4,0.02,11.000
11.47,90.000,13.500,-80.000,1.620,4,0.03,11.000
11.5,90.000,13.500,-80.000,1.750,4,0.04,11.000
11.58,90.000,11.500,-89.000,1.950,5.2,0.05,12.000
11.67,90.000,11.500,-89.000,2.150,5.2,0.05,12.000
11.75,90.000,10.000,-89.000,2.280,7.3000,0.05,10.000
11.92,90.000,8.000,-89.000,2.700,7.3000,0.05,10.000